Elected_Id,District,Name,Party,County,Role,First_Elected,SpecialPosition,Filer_IDs,First_Name,Last_Name
1,10,James Sanders Jr.,Democratic,Queens,Senate,2012,,"C25306,C55855,C55815,C25305,A87136,A56855,A56639,C55455,A87135",James,Sanders Jr.
2,11,John Liu,Democratic,Queens,Senate,2018,,"C83956,C21219,C21218,C20293,C20291,A19945,A19944",John,Liu
3,12,Michael Gianaris,Democratic,Queens,Senate,2010,Deputy Majority Leader,"A11898,A11899,A17842,A21840,",Michael,Gianaris
4,13,Jessica Ramos,Democratic,Queens,Senate,2018,,"C02964,C02963,A22072,A22071",Jessica,Ramos
5,14,Leroy Comrie,Democratic,Queens,Senate,2014,Deputy Majority Leader for State/Federal Relation,"C32410,C32409,C21084,C21080,C21074,C21073,A75615,A30642,A30641,A19996",Leroy,Comrie
6,15,Joseph Addabbo Jr.,Democratic,Queens,Senate,2008,,"C40077,C40076,C40075,A34079,A34078",Joseph,Addabbo Jr.
7,16,Toby Ann Stavisky,Democratic,Queens,Senate,1999,,"C25633,A11578,A11577",Toby,Ann Stavisky
8,17,Simcha Felder,Democratic[c],Kings,Senate,2012,,"C24125,A38445,C24124,A87240,C43376",Simcha,Felder
9,18,Julia Salazar,Democratic,Kings,Senate,2018,,"A22307,A22306",Julia,Salazar
10,19,Roxanne Persaud,Democratic,Kings,Senate,2015,,"A21661,A21165,A19680,A19678,A21164",Roxanne,Persaud
11,20,Zellnor Myrie,Democratic,Kings,Senate,2018,,"A22016,A22015",Zellnor,Myrie
12,21,Kevin Parker,Democratic,Kings,Senate,2002,Majority Whip,"C10219,C10218,A18984,A18975,A13551,A13550",Kevin,Parker
13,22,Andrew Gounardes,Democratic,Kings,Senate,2018,,"A86519,A86518,A21979,A21978",Andrew,Gounardes
14,23,Diane Savino,Democratic,"Kings, Richmond",Senate,2004,,"A22091,A19053,A18417,A18416",Diane,Savino
15,24,Andrew Lanza,Republican,Richmond,Senate,2006,,"C20913,C20910,A24149,A24148",Andrew,Lanza
16,25,Jabari Brisport,Democratic,Kings,Senate,2020,,"C06890,C06834,C06833,A23113,A23112",Jabari,Brisport
17,26,Brian P. Kavanagh,Democratic,"Kings, New York",Senate,2017,,"C22773,C22772,A22927,A22926,A21937,A21936",Brian,P. Kavanagh
18,27,Brad Hoylman,Democratic,New York,Senate,2012,,"C87167,C38896,C38895,A87356,A87355",Brad,Hoylman
19,28,Liz Krueger,Democratic,New York,Senate,2002,Chair of the Senate Finance Committee,"A19968,A11871,A11870",Liz,Krueger
20,29,José M. Serrano,Democratic,New York,Senate,2004,,"A18402,A18401",José ,M. Serrano
21,30,Brian Benjamin,Democratic,New York,Senate,2017,,"C83594,A21233,A21232,C83593",Brian,Benjamin
22,31,Robert Jackson,Democratic,New York,Senate,2018,,"C31826,C31825,C29161,C29141,C04864,C04863,A19866,A19865,A21204,A22895,A21884",Robert,Jackson
23,32,Luis R. Sepúlveda,Democratic,Bronx,Senate,2018,,"A21902,A21901,A78035",Luis,R. Sepúlveda
24,33,Gustavo Rivera,Democratic,Bronx,Senate,2010,,"A80136,A80135",Gustavo,Rivera
25,34,Alessandra Biaggi,Democratic,"Bronx, Westchester",Senate,2018,,"A22092,A22086",Alessandra,Biaggi
26,35,Andrea Stewart-Cousins,Democratic,Westchester,Senate,2006,Majority Leader of the Senate,"C28364,C28363,A18432,A18431",Andrea,Stewart-Cousins
27,36,Jamaal Bailey,Democratic,"Bronx, Westchester",Senate,2016,,"A21095,A21094",Jamaal,Bailey
28,23,Stacey Pheffer Amato,Dem,Queens,Assembly,2016,,"A21529,A21527",Stacey,Pheffer Amato
29,24,David Weprin,Dem,Queens,Assembly,2010,,"A71900,A71899,C11336,C11335,C20256,C20255,C25544,C25542",David,Weprin
30,25,Nily Rozic,Dem,Queens,Assembly,2012,,"A87173,A87172",Nily,Rozic
31,26,Edward Braunstein,Dem,Queens,Assembly,2010,,"C78255,A78295,A78275",Edward,Braunstein
32,27,Daniel Rosenthal,Dem,Queens,Assembly,2017,,"A21977,A21976",Daniel,Rosenthal
33,28,Andrew Hevesi,Dem,Queens,Assembly,2005,,"A18934,A18933,A17791",Andrew,Hevesi
34,29,Alicia Hyndman,Dem,Queens,Assembly,2015,,"C12436,C12435,A21715,A21119,A21118",Alicia,Hyndman
35,30,Brian Barnwell,Dem,Queens,Assembly,2016,,"A21134,A21133",Brian,Barnwell
36,31,Khaleel Anderson,Dem,Queens,Assembly,2020,,"A22915,A22914",Khaleel,Anderson
37,32,Vivian E. Cook,Dem,Queens,Assembly,1990,,"A06080,A03886,A01785,A01719",Vivian,E. Cook
38,33,Clyde Vanel,Dem,Queens,Assembly,2016,,"C42355,C42335,C00673,C00672,A76755,A76735,A21502,A19684,A19683",Clyde,Vanel
39,34,Jessica González-Rojas,Dem,Queens,Assembly,2020,,"A22994,A22993,C22302,C22301,A13849,A13848",Jessica,González-Rojas
40,35,Jeffrion L. Aubry,Dem,Queens,Assembly,1992,,"A06083,A02881",Jeffrion,L. Aubry
41,36,Zohran Mamdani,Dem,Queens,Assembly,2020,,"A23132,A23131",Zohran,Mamdani
42,37,Catherine Nolan,Dem,Queens,Assembly,1984,,"A21836,A21062,A12514,A06084,A02092",Catherine,Nolan
43,38,Jenifer Rajkumar,Dem,Queens,Assembly,2020,,"C88271,C84815,C84814,C04809,A23168,A21570,A19669,A19668",Jenifer,Rajkumar
44,39,Catalina Cruz,Dem,Queens,Assembly,2018,,"A22921,A21988,A21987",Catalina,Cruz
45,40,Ron Kim,Dem,Queens,Assembly,2012,,"C24749,C24748,C10308,C10307,C06478,C06477,A87376,A87375,A21070,A20943",Ron,Kim
46,41,Helene Weinstein,Dem,Kings,Assembly,1980,,",A26447,A06283,A05267,A04098,A02462,A02099,A01313",Helene,Weinstein
47,42,Rodneyse Bichotte,Dem,Kings,Assembly,2014,,"C79215,C79195,A86841,A86840",Rodneyse,Bichotte
48,43,Diana Richardson,Dem[20],Kings,Assembly,2015,,"C03062,C03061,A21576,A21067,A21066",Diana,Richardson
49,44,Robert Carroll,Dem,Kings,Assembly,2016,,"A21493,A21492,C03545,C03544",Robert,Carroll
50,45,Steven Cymbrowitz,Dem,Kings,Assembly,2000,,"A12359,A12358",Steven,Cymbrowitz
51,46,Mathylde Frontus,Dem,Kings,Assembly,2018,,"A22023,A22022",Mathylde,Frontus
52,47,William Colton,Dem,Kings,Assembly,1996,,"A05929,A05928",William,Colton
53,48,Simcha Eichenstein,Dem,Kings,Assembly,2018,,"A22369,A22368",Simcha,Eichenstein
