"candidate_id","contribution_year","contribution_max","contribution_min","contribution_avg","total","donation_count","donor_count"
1,2017,4400,58.36,540.6978280542986,119494.22,221,221
1,2018,5000,5.53,517.319037433155,193477.31999999998,374,374
1,2019,4700,75,604.4325793650795,152317.01000000004,252,252
1,2020,4700,14.75,638.5429081632653,125154.41,196,196
1,2021,5000,38.69,649.1330543933054,155142.8,239,239
1,2022,350,225,287.5,575,2,2
3,2019,1000,2,44.071641791044776,14764,335,335
3,2020,11203,2,74.78448473282445,39187.070000000014,524,524
3,2021,4000,1,146.445033557047,21820.31,149,149
3,2022,250,5,79.77272727272727,1755,22,22
4,2017,1000,100,587.5,2350,4,4
4,2018,4400,50,690.125,27605,40,40
4,2019,1120,25,379.7916666666667,9115,24,24
4,2020,4700,27,865.4462809917355,104719,121,121
5,2017,2500,25,196.02272727272728,8625,44,44
5,2018,4400,5,345.10460251046027,82480,239,239
5,2019,1000,5,262.84090909090907,11565,44,44
5,2020,1700,3,327.25,9163,28,28
5,2021,2500,25,445.79545454545456,19615,44,44
5,2022,4700,30,543.8461538461538,7070,13,13
8,2017,4400,25,484.1363636363636,53255,110,110
8,2018,3000,50,468.3009708737864,48235,103,103
8,2019,4700,25,823.7199386503067,134266.35,163,163
8,2020,5000,78,1038.5833333333333,74778,72,72
8,2021,4700,50,587.8571428571429,65840,112,112
8,2022,4700,250,1410,21150,15,15
9,2017,4400,5,505.93548387096774,78420,155,155
9,2018,4400,20,686.3790613718412,190127,277,277
9,2019,4700,40,1030.9810126582279,162895,158,158
9,2020,5000,5,999.1290322580645,154865,155,155
9,2021,5000,3.01,735.1627118644068,216873,295,295
9,2022,11201,5,2090.0833333333335,25081,12,12
10,2017,1000,25,282.3073873873874,31336.12,111,111
10,2018,3400,20,433.14028248587573,76665.83,177,177
10,2019,2000,40,302.827868852459,36945,122,122
10,2020,5000,3,431.37704918032784,52628,122,122
10,2021,2000,25,346.1711711711712,38425,111,111
10,2022,4700,1000,2175,8700,4,4
13,2020,4700,10,339.5108695652174,31235,92,92
13,2021,1500,27,246.07185185185187,6643.9400000000005,27,27
17,2017,1500,10,198.17772093023257,42608.21,215,215
17,2018,4400,10,330.2533707865168,58785.1,178,178
17,2019,4700,10,261.8151260504202,62312,238,238
17,2020,1000,25,328.84615384615387,4275,13,13
17,2021,3500,10,209.1888888888889,37654,180,180
17,2022,2000,10,145.93406593406593,13280,91,91
19,2017,2450,15,209.79268292682926,51609,246,246
19,2018,2200,1,213.25063953488373,73358.22,344,344
19,2019,2500,10,177.9689440993789,57306,322,322
19,2020,1500,10,164.2436974789916,19545,119,119
19,2021,2500,10,199.6629213483146,35540,178,178
21,2017,500,500,500,500,1,1
21,2019,50,50,50,50,1,1
22,2017,2500,15,124.78333333333333,7487,60,60
22,2018,4400,3,167.18330985915492,284880.36,1704,1704
22,2019,2500,1,140.91907514450867,24379,173,173
22,2020,1050,5,153.04347826086956,7040,46,46
22,2021,250,250,250,250,1,1
22,2022,27,27,27,27,1,1
23,2017,4321,25,342.6714007782101,88066.55,257,257
23,2018,3500,25,364.1634980988593,95775,263,263
23,2019,4000,25,357.76206896551724,103751,290,290
23,2020,4700,20,367.3848797250859,106909,291,291
23,2021,4700,25,377.6442953020134,56269,149,149
24,2017,5000,86.12,1137.366567164179,152407.12,134,134
24,2018,4400,50,710.6666666666666,106600,150,150
24,2019,5000,72.4,868.8470588235293,88622.4,102,102
