Candidate_ID,Contribution_Year,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Donation_Count,Donor_Count
1,2016,7000,1,868.7946465,86010.67,99,91
1,2017,1500,2.63,310.3264815,16757.63,54,49
1,2018,9000,20,968.015873,60985,63,59
1,2019,5000,1.22,749.4310185,80938.55,108,92
1,2020,5000,250,1475,14750,10,10
2,2016,675.22,675.22,675.22,675.22,1,1
2,2018,11000,1,327.0238547,472549.47,1445,1322
2,2019,7500,1,674.5939894,253647.34,376,320
2,2020,7500,3.75,698.5252577,135513.9,194,172
3,2016,11000,5.27,1577.744479,454390.41,288,242
3,2017,10000,25,1248.569392,328373.75,263,223
3,2018,10000,25,1440.644276,407702.33,283,249
3,2019,10000,5,1154.129956,529745.65,459,383
3,2020,19300,1,675.4616142,493762.44,731,447
4,2017,391.03,10,49.54870968,4608.03,93,90
4,2018,11000,1,112.2644153,410887.76,3660,2861
4,2019,9800,1,521.2726054,136052.15,261,178
4,2020,7500,1,156.7499877,127280.99,812,529
5,2016,6000,10,424.9299569,98583.75,232,207
5,2017,3000,5,266.4285714,24245,91,86
5,2018,7000,5,293.99375,94078,320,271
5,2019,4000,3,358.3686131,98193,274,229
5,2020,5000,0.06,303.6485714,82896.06,273,216
6,2016,10300,15,747.3809524,141255,189,169
6,2017,7000,20,653.359375,83630,128,117
6,2018,8000,20,819.5639754,199973.61,244,211
6,2019,7500,25,902.1826259,250806.77,278,228
6,2020,5000,25,902.4725275,82125,91,89
7,2016,7000,5,922.03125,236040,256,203
7,2017,3500,100,529.0983607,64550,122,120
7,2018,5500,50,797.5,111650,140,121
7,2019,7500,100,933.5,93350,100,81
7,2020,4500,100,1000.909091,55050,55,50
8,2016,11000,26,2148.435743,216992.01,101,92
8,2017,10000,50,1199.747759,69585.37,58,55
8,2018,18000,10,2164.753211,471916.2,218,203
8,2019,1650.97,50,777.3633333,2332.09,3,2
8,2020,1851.57,65.87,716.2833333,4297.7,6,1
9,2018,11000,0.04,59.15088354,277831.7,4697,3532
9,2019,4647.03,1,92.24992095,23339.23,253,195
9,2020,7500,1,327.3455952,54994.06,168,149
10,2016,10000,5,605.814978,137520,227,212
10,2017,3500,50,224.1794872,17486,78,73
10,2018,11000,5,491.8888889,44270,90,81
10,2019,3500,125,1194.444444,10750,9,9
10,2020,7500,25,472.4019608,48185,102,93
11,2017,2000,5,146.2242199,41235.23,282,246
11,2018,11000,1,121.1962284,399099.18,3293,2642
11,2019,5000,1,121.7579644,47850.88,393,330
11,2020,7500,1,140.460687,36800.7,262,189
12,2016,10000,49,527.095057,138626,263,224
12,2017,5000,25,422.5847458,149595,354,280
12,2018,11000,50,850.2420664,230415.6,271,223
12,2019,10000,25,701.5631132,223097.07,318,270
12,2020,7000,25,1098.611111,59325,54,50
13,2017,10000,22,305.4270833,58642,192,175
13,2018,11000,3,243.4793934,569985.26,2341,1688
13,2019,10800,5,331.4876374,241323,728,459
13,2020,11800,0.01,307.6778377,587664.67,1910,1241
14,2016,10750,100,1102.681992,287800,261,216
14,2017,5000,36,877.6724409,334393.2,381,283
14,2018,15500,80,1200.448276,348130,290,233
14,2019,14500,50,976.2409091,300682.2,308,241
14,2020,7500,25,1083.223684,246975,228,189
15,2016,10500,10,529.1219764,179372.35,339,262
15,2017,3500,10,580.3118803,135792.98,234,185
15,2018,8000,10,586.8490566,155515,265,226
15,2019,3600,10,476.0079186,105197.75,221,177
15,2020,4000,5,489.4444444,79290,162,125
16,2017,91861,1,116.6289971,160481.5,1376,994
16,2018,87.81,39.03,66.66333333,199.99,3,3
16,2019,1000,1,58.54337423,28627.71,489,394
16,2020,11800,1,27.78219468,307104.38,11054,7858
17,2017,11000,1.3,1252.631343,83926.3,67,62
17,2018,11000,1.4,523.5083333,25128.4,48,46
17,2019,2000,100,783.3333333,2350,3,3
17,2020,11800,1,885.68,66426,75,69
18,2016,11000,10,837.5073746,283915,339,288
18,2017,11000,20,560.6818182,148020,264,248
18,2018,7000,50,724.4954859,231114.06,319,264
18,2019,11000,50,708.8605817,255898.67,361,287
18,2020,7500,50,717.2489083,164250,229,204
19,2016,11000,8.06,1135.02125,127122.38,112,91
19,2017,5000,6.23,951.0989063,60870.33,64,56
19,2018,8500,3.9,1154.983056,41579.39,36,24
19,2019,5000,6.52,712.7406849,52030.07,73,60
19,2020,10000,2.37,889.49375,78275.45,88,71
20,2016,11000,500,3250,26000,8,8
20,2017,2000,500,1250,2500,2,2
20,2018,11000,500,5083.333333,30500,6,6
20,2019,3000,250,925,9250,10,10
20,2020,11800,500,3860,19300,5,4
21,2016,7500,50,1721.076923,67122,39,34
21,2017,11000,1,547.6350365,225078,411,372
21,2018,15000,2,856.7293065,382958,447,393
21,2019,11000,19,1086.89087,274983.39,253,225
21,2020,10000,3,1011.025,121323,120,99
22,2016,11000,1,189.7941829,166069.91,875,584
22,2017,5000,1,55.07442049,81730.44,1484,1062
22,2018,11000,1,55.02894522,417889.81,7594,5192
22,2019,5000,1,141.06904,70534.52,500,401
22,2020,7500,1,145.1428571,79248,546,387
23,2017,2500,10,285.6818182,12570,44,44
23,2018,11000,15,1097.155743,324758.1,296,237
23,2019,5000,10,1828.5,18285,10,10
24,2016,7000,10,953.3764286,293639.94,308,265
24,2017,5000,100,1076.923077,98000,91,77
24,2018,8000,50,1125.660377,238640,212,187
24,2019,16800,5,1186.889622,345384.88,291,254
24,2020,9800,18,1159.299145,135638,117,108
25,2017,62.67,62.67,62.67,62.67,1,1
25,2018,11000,0,119.6572496,560354.9,4683,3448
25,2019,7000,1,209.5725028,190082.26,907,566
25,2020,7500,1,150.4847945,164780.85,1095,699
25,2109,20,20,20,20,1,1
26,2016,11000,15,700.1749623,464216,663,562
26,2017,10000,5,809.4583871,250932.1,310,281
26,2018,11000,5,790.5442061,751807.54,951,770
26,2019,11000,2,1055.132043,826168.39,783,631
26,2020,11800,20,1356.925914,408434.7,301,280
27,2016,11000,1,1206.097319,283432.87,235,203
27,2017,7000,25,771.3151546,74817.57,97,79
27,2018,10300,24.01,789.9172455,131916.18,167,140
27,2019,7000,25,808.0766923,105049.97,130,112
27,2020,10000,10,1273.973214,71342.5,56,54
28,2016,4400,0.75,458.3709384,156304.49,341,263
28,2017,2000,100,757.2368421,28775,38,38
28,2018,4400,18,495.2994652,92621,187,172
28,2019,5000,75,586.5591398,54550,93,82
28,2020,4500,50,753.5569014,53502.54,71,67
29,2016,3900,5,642.5078534,122719,191,184
29,2017,4400,25,599.6153846,93540,156,140
29,2018,3044,25,545.177686,131933,242,218
29,2019,2000,10,337.2238806,112970,335,298
29,2020,5000,3,400.2719255,64443.78,161,153
30,2016,4100,18,287.5829167,27607.96,96,92
30,2017,1500,50,464.4736842,17650,38,38
30,2018,4400,1,265.3006135,43244,163,142
30,2019,1000,5,310.031746,19532,63,61
30,2020,2000,10,176.0654545,19367.2,110,101
31,2016,1000,20,283.6440678,33470,118,113
31,2017,1000,25,286.4832143,32086.12,112,103
31,2018,3400,20,435.033125,76565.83,176,161
31,2019,2000,40,302.8278689,36945,122,116
